Path,Size,Size (bytes),Modified
/media/Downloads/qbittorrent/complete/sonarr/The.Baby.Sitters.Club.2020.S02.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB/The.Baby.Sitters.Club.2020.S02E01.Kristy.and.the.Snobs.2160p.NF.WEB-DL.DD+5.1.DoVi.HDR.H.265-playWEB.mkv,3.4 GiB,3648909314,2026-06-14T22:08:00.306290125-07:00
/media/Downloads/qbittorrent/complete/sonarr/Dutton.Ranch.S01E04.Start.With.a.Bullet.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,3.24 GiB,3480609251,2026-06-02T19:55:57.663535829-07:00
/media/Downloads/qbittorrent/complete/cross-seed/Blutopia/Dutton.Ranch.S01E07.Den.of.Sin.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv--3d8053f1/Dutton.Ranch.S01E07.Den.of.Sin.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,2.96 GiB,3182039365,2026-06-19T00:03:23.635030153-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Dutton.Ranch.S01E07.Den.of.Sin.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv--8100e35d/Dutton.Ranch.S01E07.Den.of.Sin.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,2.96 GiB,3182039365,2026-06-19T00:03:23.635030153-07:00
/media/Downloads/qbittorrent/complete/sonarr/Dutton.Ranch.S01E07.Den.of.Sin.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,2.96 GiB,3182039365,2026-06-19T00:03:23.635030153-07:00
/media/Downloads/qbittorrent/complete/cross-seed/Blutopia/Dutton.Ranch.S01E06.A.Cowboy.Saint.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv--c3cdfa2c/Dutton.Ranch.S01E06.A.Cowboy.Saint.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,2.81 GiB,3013114579,2026-06-12T00:03:00.265124866-07:00
/media/Downloads/qbittorrent/complete/cross-seed/Seedpool/Dutton.Ranch.S01E06.A.Cowboy.Saint.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv--e2adfcd2/Dutton.Ranch.S01E06.A.Cowboy.Saint.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,2.81 GiB,3013114579,2026-06-12T00:03:00.265124866-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Dutton.Ranch.S01E06.A.Cowboy.Saint.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv--b28b9b51/Dutton.Ranch.S01E06.A.Cowboy.Saint.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,2.81 GiB,3013114579,2026-06-12T00:03:00.265124866-07:00
/media/Downloads/qbittorrent/complete/sonarr/Dutton.Ranch.S01E06.A.Cowboy.Saint.1080p.AMZN.WEB-DL.DDP5.1.H.264-BLOOM.mkv,2.81 GiB,3013114579,2026-06-12T00:03:00.265124866-07:00
/media/Downloads/qbittorrent/complete/sonarr/Ghost.Whisperer.S05E20.1080p.WEB.H264-SHIIIT/shiiit-ghost.whisperer.s05e20.1080p.web.h264.mkv,2.51 GiB,2698939175,2026-06-23T00:28:39.834994267-07:00
